seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Estelle,Schneider,40,Geipo Terrace,Uzmowme,DE,45073,$6811.66,GREEN,05/25/1917
2,Adrian,Sutton,41,Dalu Key,Zelesva,LA,34432,$4668.52,WHITE,06/25/1992
3,Etta,Tate,34,Ibagir Circle,Ectijew,CT,23677,$4907.20,GREEN,09/23/1986
4,Norman,Chavez,59,Nemwe Drive,Mapabo,TX,84202,$2729.00,BLUE,02/02/2054
5,Kathryn,Brewer,39,Nujkiv View,Uhbowo,AR,45928,$8218.32,GREEN,07/24/1930
6,Thomas,Patton,62,Zoser View,Aniboum,LA,02710,$6859.54,RED,10/16/2015
7,Ronald,Sullivan,58,Eweoz Way,Ehabusi,OK,11504,$8606.35,GREEN,11/25/1904
8,Howard,Oliver,47,Rivel Mill,Zewbofaz,ND,13046,$4036.80,YELLOW,01/10/2014
9,Mabel,Townsend,45,Milo Lane,Fadofgo,WA,31653,$4682.04,BLUE,06/20/1978
10,Scott,Williams,37,Lebfit Highway,Nisciwog,MO,84538,$9657.09,BLUE,08/27/1954
11,Daisy,Ballard,49,Amki Extension,Cejedda,MA,20744,$6138.82,WHITE,02/01/2059
12,Gene,Diaz,21,Jelwu Street,Jorovew,AK,83654,$8473.76,GREEN,01/25/1947
13,Amelia,Jefferson,42,Volu Street,Hirseciv,DE,98857,$4293.95,GREEN,09/25/2010
14,Lela,Warren,30,Rurvem Lane,Wirohul,SD,16518,$2310.89,GREEN,05/13/1989
15,Alan,McDonald,48,Luru Boulevard,Wejnuru,UT,26215,$5822.57,GREEN,02/13/2006
16,Tony,Burgess,22,Antez Mill,Ekosivu,KY,48527,$6052.91,RED,09/28/1949
17,Eric,Waters,51,Jigug Court,Hoerawip,NC,30115,$5476.76,WHITE,03/16/1989
18,Shane,Park,33,Ufausu Loop,Danuceb,AZ,49140,$1982.41,GREEN,09/02/2060
19,Maud,Vaughn,26,Omnu Street,Hakusul,LA,13882,$27.08,RED,12/20/2030
20,Emily,Phelps,33,Hamod Pike,Sogniewe,WI,72506,$920.65,YELLOW,06/15/1993
21,Lois,Jenkins,38,Pasal Center,Nozwuvpo,MD,42497,$4282.57,WHITE,02/05/1940
22,Sara,Craig,37,Wile Drive,Jewjipoz,MT,90139,$4491.55,YELLOW,02/09/1908
23,Mable,Edwards,24,Alsun Trail,Egvima,MI,99835,$8967.99,RED,11/17/1948
24,Madge,Figueroa,41,Nuntuw Grove,Iguhse,IL,58526,$1346.79,GREEN,01/15/1989
